title,description,News Feed,Extraction Date,
Is this the cutest thing on the Internet?,"Is there such a thing as too much cute? The internet says no. You're Welcome. For more, go to funnyordie.com.",CNN,5/9/2014,
Jennifer Lawrence on fame,Going to the Academy Awards has been dangerous for Jennifer Lawrence.,CNN,5/9/2014,
Kittens or puppies? Web gets super-cute,"Is there such a thing as too much cute? The internet says no. You're Welcome. For more, go to funnyordie.com.",CNN,5/9/2014,
Man froze mom's body for 3 years,"Jon Whiteford had a secret so macabre, that when a Kentucky sheriff's deputy showed up to question him about it, he pulled out a handgun and killed himself.",CNN,5/9/2014,
Manziel: I'll continue to grow up,"Browns' first-round draft pick, quarterback Johnny Manziel, addresses the media for the first time since he was drafted.",CNN,5/9/2014,
Marine held in Mexico: Please help me,"For more than a month, a U.S. Marine and Afghanistan war veteran has been held in a Tijuana, Mexico, prison, fighting for his release after being charged with a crime he says he did not commit.",CNN,5/9/2014,
Megamouth shark,A museum in Japan is putting a rare megamouth shark on display.,CNN,5/9/2014,
Mickey Rooney's widow contests will,"Mickey Rooney's widow has filed a challenge against the validity of the will the legendary actor signed just weeks before his death at 93, her lawyer said.",CNN,5/9/2014,
Mom question makes CNNer tear up,Familiar faces of CNN wish you a Happy Mother's Day.,CNN,5/9/2014,
Most popular baby names of 2013 are ...,"Michael and Jacob, your reign has ended. Noah was the most popular name for boys in 2013, the Social Security Administration reports. Sophia tops the list for girls.",CNN,5/9/2014,
Mother of jailed Marine demands release,"Jill Tahmooressi speaks about her son's imprisonment in Mexico, and why she believes his release should be expedited.",CNN,5/9/2014,
N. K. insults Obama with racist barbs,Vitriolic insults hurled by North Korea's state-run media are so frequent that they're usually not news.,CNN,5/9/2014,
Nation now uses more crack than U.S.,Addicts smoke in open air crack dens on streets that soon will be full of World Cup fans.,CNN,5/9/2014,
Navy pays a penny to get rid of a carrier,"For the second time in two years, the U.S. Navy is parting with one of its aircraft carriers for a penny. The Saratoga saw action off North Vietnam and was part of Operation Desert Storm.",CNN,5/9/2014,
Navy pays a penny to get rid of carrier,"For the second time in two years, the U.S. Navy is parting with one of its aircraft carriers for a penny.",CNN,5/9/2014,
Neil Patrick Harris flaunts 'crazy' body,Neil Patrick Harris worked too hard at getting lean to let his physique stay clothed.,CNN,5/9/2014,
New fears for the schoolgirls,Vladimir Duthiers reports on U.S. Military assets being used to help find hundreds of kidnapped schoolgirls in Nigeria.,CNN,5/9/2014,
Nintendo defends 'anti-gay' game,"CNN talks to the ""Miiquality"" Campaign's Tye Marini about why he wants same-sex marriage in a virtual reality game.",CNN,5/9/2014,
North Korea,Call them drones; call them toy airplanes with digital cameras shoved into their entrails.,CNN,5/9/2014,
Obama: 'Screwed up' my speech,President Obama jokingly addresses a heckler during the end of his speech at a DNC fundraiser in California.,CNN,5/9/2014,
Pint-sized salsa dancers tear it up,Sizzling salsa dancers come in all shapes and sizes. CNN's Jeanne Moos reports on salsa stars both young and old.,CNN,5/9/2014,
Pistorius trial testimony,"One of the most respected ballistics experts in South Africa disputed key elements of the prosecution case against Oscar Pistorius Friday, saying that the girlfriend he killed last year did not appear to have been in a defensive position when he shot her.",CNN,5/9/2014,
"'Please help me,' U.S. Marine begs","For more than a month, Sgt. Andrew Tahmooressi has been held in a Tijuana, Mexico, prison, charged with a crime he says he didn't commit.",CNN,5/9/2014,
Police: Murder-suicide at fiery mansion,"The deaths of four people this week at a Florida mansion leased out by tennis star James Blake were murders and a suicide, with a man shooting his wife and two children and setting the home on fire before shooting himself, authorities said Friday.",CNN,5/9/2014,
Putin takes victory lap in Crimea,It's Putin's first visit to the disputed territory since Russia annexed it from Ukraine. He was flanked by senior officers as Russian warships took part in a naval display in the Black Sea.,CNN,5/9/2014,
Racism. Money. Sports. Secret recordings.,"Los Angeles Clippers co-owner Donald Sterling's saga touches upon big, explosive issues in American society, and it has as many surprises and exchanges as the ongoing NBA playoffs.",CNN,5/9/2014,
Racist claim denied in recording,"If the latest audio recording attributed to Donald Sterling is the real deal, the L.A. Clippers owner is denying he's a racist -- and doesn't appear ready to submit to demands to sell the team.",CNN,5/9/2014,
Raise your son to be a mama's boy,"Peggy Drexler says studies find that men who had close relationships with their mothers are more patient, adaptable and flexible",CNN,5/9/2014,
Report: Terrorist killed in Yemen,"Yemeni security forces have killed an al Qaeda terrorist wanted over a series of attacks in the country's capital, state media reported Friday.",CNN,5/9/2014,
Russia flaunts its military hardware,Crowds packed the streets of Moscow and the Crimean city of Sevastopol on Friday for Victory Day parades in an annual show of nationalistic fervor heightened by Russia's recent annexation of Crimea from Ukraine.,CNN,5/9/2014,
S. Korea: Drones came from North,Call them drones; call them toy airplanes with digital cameras dropped into their girths.,CNN,5/9/2014,
Secret weapon of China's air force,The Chinese air force have a new secret weapon: monkeys.,CNN,5/9/2014,
Shape Magazine told me to cover up,"An Illinois woman lost over 170 pounds, but says Shape Magazine asked her to submit a photo with her stomach covered.",CNN,5/9/2014,
Sharon Osbourne is so over talent shows,Sharon Osborne tells Conan she is sick of listening to a bunch of talentless hopefuls screech in her face.,CNN,5/9/2014,
Shelly Sterling's lawyer: Marriage in shambles,CNN's Wolf Blitzer speaks to Shelly Sterling's lawyer about her marriage and the ownership of the L.A. Clippers.,CNN,5/9/2014,
Should brothers have lost HGTV show?,"The brothers lost their HGTV show after a website published a post labeling David Benham as an ""anti-gay, anti-choice extremist."" But the brothers say their beef isn't with the network.",CNN,5/9/2014,
Show lost over 'anti-gay' remarks,"Twin brothers David and Jason Benham have lost their opportunity to host their own HGTV show. They ran afoul of the network after a post about them, labeling David Benham as an ""anti-gay, anti-choice extremist.""",CNN,5/9/2014,
South Korea: 3 drones came from North,Call them drones; call them toy airplanes with digital cameras shoved into their entrails.,CNN,5/9/2014,
Sterling saga touches on explosive issues,"Los Angeles Clippers co-owner Donald Sterling's saga touches upon big, explosive issues in American society, and it has as many surprises and exchanges as the ongoing NBA playoffs.",CNN,5/9/2014,
Sterling's possible excuse: I wanted sex,"In a yet another alleged Donald Sterling audio recording, the Los Angeles Clippers owner purportedly explains why he infamously told a woman not to bring black people to his games: He was jealous that she was with black men.",CNN,5/9/2014,
Sterling's possible excuse: I wanted sex,"In a yet another audio recording, Los Angeles Clippers owner Donald Sterling purportedly explains why he infamously told a woman not to bring black people to his games: He was jealous.",CNN,5/9/2014,
Surprise! Soldier dad is her pitcher,A soldier surprised his young daughter at her softball game. WJXT reports.,CNN,5/9/2014,
Tax trouble for Sterling's friend?,"Rosa Flores asks whether V. Stiviano broke tax laws when she says she got money ""off the books"" from Clippers owner.",CNN,5/9/2014,
Tax trouble for Sterling's mistress?,"Rosa Flores asks whether V. Stiviano broke tax laws when she says she got money ""off the books"" from Clippers owner.",CNN,5/9/2014,
Tax trouble for V. Stiviano?,"Rosa Flores asks whether V. Stiviano broke tax laws when she says she got money ""off the books"" from Clippers owner.",CNN,5/9/2014,
"Teen hoopster is 7'5"" (Shaq is 7'1"")","Meet 7-foot, 5-inch Elhadji Tacko Fall, the tallest high school basketball player in the country.",CNN,5/9/2014,
The Russian fashionista look,"When you think about Russian style, don't think Moscow, think St. Petersburg.",CNN,5/9/2014,
The week in 25 photos ,"From a devastating landslide in Afghanistan to a tornado in Colorado to elections in South Africa, get a view of the world that you won't find anywhere else.",CNN,5/9/2014,
Thousands protest in Bangkok,"Thousands of protesters have surrounded Bangkok's Government House seeking the removal of Thailand's embattled caretaker government, amid soaring political tensions in the wake of former prime minister Yingluck Shinawatra's ouster.",CNN,5/9/2014,
U.S. Marine held in Mexican prison,"For more than a month, Sgt. Andrew Tahmooressi has been held in a Tijuana, Mexico, prison, charged with a crime he says he didn't commit.",CNN,5/9/2014,
U.S. officials hit 'the ground in Nigeria',"The seven officials, who arrive Friday, will join advisers supporting local efforts to find the hundreds of girls abducted over three weeks ago, a Pentagon official says.",CNN,5/9/2014,
U.S. officials 'hitting the ground in Nigeria',"The seven officials, who arrive Friday, will join advisers supporting local efforts to find the hundreds of girls abducted over three weeks ago, a Pentagon official says.",CNN,5/9/2014,
Ukraine,Crowds packed the streets of Moscow and the Crimean city of Sevastopol on Friday for Victory Day parades in an annual show of nationalistic fervor heightened by Russia's recent annexation of Crimea from Ukraine.,CNN,5/9/2014,
Unlicensed doc 'did incredible damage',"How did an unlicensed professional, who led people to believe he was a medical doctor, run a facility for adolescents with mental illness and drug abuse problems for decades, despite complaint after complaint to state regulators alleging abuse?",CNN,5/9/2014,
